gauge_id,gauge_name,main_effect_x1_NSE,main_effect_x2_NSE,main_effect_x3_NSE,main_effect_x4_NSE,total_effect_x1_NSE,total_effect_x2_NSE,total_effect_x3_NSE,total_effect_x4_NSE,main_effect_x1_logNSE,main_effect_x2_logNSE,main_effect_x3_logNSE,main_effect_x4_logNSE,total_effect_x1_logNSE,total_effect_x2_logNSE,total_effect_x3_logNSE,total_effect_x4_logNSE,main_effect_x1_avr,main_effect_x2_avr,main_effect_x3_avr,main_effect_x4_avr,total_effect_x1_avr,total_effect_x2_avr,total_effect_x3_avr,total_effect_x4_avr,obs_missing,start_date,end_date,river,area
24001,Wear at Sunderland Bridge,0.068543,0.095446,0.067348,0.24968,0.24849,0.41428,0.34508,0.4241,0.02741,0.23449,0.10297,0.028606,0.45481,0.69103,0.58159,0.19919,0.053485,0.2388,0.09181,0.11302,0.30834,0.60447,0.52545,0.2852,2,1990-01-01,1999-12-31,River Wear,661.17
24003,Wear at Stanhope,0.0084157,0.23268,0.015033,0.36749,0.096071,0.44105,0.23998,0.46382,0.17515,0.52083,0.077251,0.046275,0.26325,0.69647,0.22318,0.10097,0.086683,0.50464,0.059544,0.16746,0.13519,0.68049,0.2373,0.2319,2,1990-01-01,1999-12-31,River Wear,173.49
39001,Thames at Kingston,0.12017,0.25281,0.080271,0.00058124,0.29955,0.69355,0.45343,0.12856,0.042497,0.68931,0.039714,0.0006502,0.086449,0.89923,0.21874,0.05461,0.081092,0.39916,0.042849,0.00061781,0.19953,0.78543,0.37533,0.11818,0,1990-01-01,1999-12-31,River Thames,9930.8
39072,Thames at Royal Windsor Park,0.078868,0.13806,0.11941,0.00053947,0.35119,0.64992,0.58802,0.16255,0.031898,0.10547,0.37093,0.00057083,0.3109,0.45358,0.79924,0.18337,0.073771,0.15136,0.27863,0.00044859,0.29023,0.46335,0.66524,0.16864,0,1990-01-01,1999-12-31,River Thames,7124.94
39002,Thames at Days Weir,0.059214,0.11352,0.09937,0.00092963,0.34593,0.67787,0.63854,0.21224,0.082544,0.47647,0.080855,0.00090893,0.22971,0.74803,0.33272,0.17238,0.078271,0.26911,0.099259,0.00090248,0.25411,0.67431,0.50579,0.20028,0,1990-01-01,1999-12-31,River Thames,3480
