gauge_id,gauge_name,space_remaining,opt_param_plausible,sigma_MD,sigma_obs,camels_uncert,cut_off,theta_1,theta_2,theta_3,theta_4,PCA_emulator,PCA_var_accounted,x1_opt,x2_opt,x3_opt,x4_opt,opt_NSE,opt_log_NSE,opt_normalised_NSE,opt_L1_NSE,opt_corr,opt_bias,opt_RMSD,opt_KGE,x1_most_nonimp,x2_most_nonimp,x3_most_nonimp,x4_most_nonimp,main_effect_x1,main_effect_x2,main_effect_x3,main_effect_x4,total_effect_x1,total_effect_x2,total_effect_x3,total_effect_x4,D_CI_em1,D_CI_em2,D_CI_em3,D_CI_em4,D_DI_em1,D_DI_em2,D_DI_em3,D_DI_em4,obs_missing,start_date,end_date,river,area
24001,Wear at Sunderland Bridge,1.68651,FALSE,0.00173,0.08928,TRUE,2,0.3,0.2,0.3,0.3,TRUE,94.202,265.0716,-0.09012,26.84286,1.24174,0.71801,0.73323,0.81847,0.62129,0.84941,0.00173,1.07301,0.82376,42.9498,-4.02645,166.7526,1.0778,0.033343,0.73991,0.0038167,0.00012355,0.046364,0.95827,0.19582,0.026885,0.722,0.766,0.762,0.94,2009.4,1515.1,1867,534.23,2,1990-01-01,1999-12-31,River Wear,661.17
24003,Wear at Stanhope,0.50746,FALSE,0.02988,0.13153,TRUE,2,0.3,0.2,0.3,0.3,TRUE,91.022,260.3145,-1.68994,33.73592,1.08321,0.71758,0.83119,0.77925,0.62236,0.84734,-0.02988,1.81456,0.78917,115.3392,-4.35363,117.6751,1.0778,0.010103,0.78966,0.003586,0.00011203,0.018473,0.98579,0.17992,0.018718,0.972,0.734,0.71,0.932,330.64,1745,2195.1,573.94,2,1990-01-01,1999-12-31,River Wear,173.49
39001,Thames at Kingston,86.65963,TRUE,0.05116,0.1686,FALSE,2,0.3,0.2,0.3,0.3,TRUE,97.189,389.7757,-3.29512,75.16432,2.19609,0.93676,0.85743,0.94052,0.75277,0.96941,0.05116,0.14414,0.90924,332.5073,-4.02645,107.8596,2.63192,0.10367,0.6454,0.0060557,0.00014824,0.12561,0.8768,0.20231,0.037978,0.956,0.682,0.962,0.798,577.49,2385.1,1418.3,2996.1,0,1990-01-01,1999-12-31,River Thames,9930.8
39072,Thames at Royal Windsor Park,95.34642,TRUE,0.0314,0.14748,TRUE,2,0.3,0.2,0.3,0.3,TRUE,97.282,416.3186,-1.01337,109.0229,2.53122,0.935,0.79459,0.93896,0.75694,0.96873,-0.0314,0.15364,0.95262,429.0265,-1.40898,117.6751,2.38653,0.10103,0.6462,0.0061579,0.00014971,0.12318,0.87926,0.20375,0.038558,0.746,0.682,0.946,0.918,2005,2004.5,696.36,939.35,0,1990-01-01,1999-12-31,River Thames,7124.94
39002,Thames at Days Weir,81.01258,TRUE,0.03821,0.1686,FALSE,2,0.3,0.2,0.3,0.3,TRUE,97.322,249.635,-1.05539,115.5843,2.60811,0.94377,0.93442,0.94676,0.79666,0.97247,0.03821,0.18049,0.92612,139.469,-2.22694,225.6457,2.63192,0.093822,0.65135,0.006153,0.00015099,0.11614,0.88648,0.20577,0.038958,0.952,0.958,0.782,0.91,437.15,371.85,1729.8,896.56,0,1990-01-01,1999-12-31,River Thames,3480
